"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"06","1","B20","","13_60 a 64","2"
"22","2","I50","","10_45 a 49","1"
"50","1","I26","","09_40 a 44","4"
"50","2","C81","","17_80 y más","1"
"30","1","C76","","12_55 a 59","4"
"70","1","W86","","04_15 a 19","1"
"06","2","D65","","13_60 a 64","2"
"14","2","I10","","15_70 a 74","3"
"06","2","I73","","10_45 a 49","1"
"30","1","G30","","15_70 a 74","1"
"82","1","X99","","08_35 a 39","2"
"02","1","E85","","13_60 a 64","1"
"06","2","C19","","15_70 a 74","2"
"18","1","I69","","14_65 a 69","2"
"14","2","V44","","02_1 a 9","1"
"50","1","C25","","17_80 y más","15"
"14","1","A09","","16_75 a 79","4"
"30","1","J44","","10_45 a 49","1"
"06","1","R99","","15_70 a 74","408"
"66","1","K74","","14_65 a 69","8"
"34","2","R96","","04_15 a 19","2"
"62","2","J96","","17_80 y más","9"
"70","2","C54","","17_80 y más","2"
"46","1","I38","","17_80 y más","1"
"82","1","P96","","01_Menor de 1 año","5"
"94","1","J43","","09_40 a 44","1"
"02","1","K55","","12_55 a 59","3"
"02","2","J36","","14_65 a 69","1"
"54","2","I38","","17_80 y más","1"
"10","2","C16","","09_40 a 44","1"
"02","2","D61","","04_15 a 19","1"
"14","2","K70","","10_45 a 49","1"
"22","2","O45","M","06_25 a 29","1"
"30","2","I63","","17_80 y más","2"
"10","1","J44","","12_55 a 59","1"
"02","2","D14","","14_65 a 69","1"
"86","2","G30","","14_65 a 69","1"
"82","1","N50","","17_80 y más","1"
"30","2","N17","","13_60 a 64","1"
"06","1","M53","","15_70 a 74","1"
"06","2","C56","","12_55 a 59","56"
"54","1","I50","","17_80 y más","2"
"06","1","Y83","","16_75 a 79","7"
"22","2","J15","","02_1 a 9","1"
"82","1","E10","","14_65 a 69","8"
"82","1","R54","","15_70 a 74","1"
"70","2","C97","","13_60 a 64","1"
"66","1","C40","","05_20 a 24","1"
"78","2","I49","","17_80 y más","5"
"02","1","C81","","14_65 a 69","1"
"50","2","V89","","14_65 a 69","3"
"70","1","J44","","14_65 a 69","6"
"66","2","C81","","10_45 a 49","1"
"46","2","C55","","13_60 a 64","1"
"14","1","J84","","13_60 a 64","4"
"54","2","C18","","13_60 a 64","6"
"06","1","J96","","17_80 y más","1573"
"14","1","C43","","17_80 y más","7"
"86","1","V89","","05_20 a 24","5"
"82","2","C78","","10_45 a 49","2"
"06","1","P29","","01_Menor de 1 año","42"
"02","1","Y34","","17_80 y más","15"
"06","1","V48","","07_30 a 34","2"
"58","1","Y83","","04_15 a 19","2"
"26","1","N17","","17_80 y más","1"
"82","1","N20","","15_70 a 74","1"
"30","2","C22","","03_10 a 14","1"
"54","2","W69","","02_1 a 9","1"
"22","2","I63","","17_80 y más","4"
"06","1","R10","","09_40 a 44","1"
"30","2","G20","","15_70 a 74","1"
"74","1","I11","","16_75 a 79","5"
"30","2","C80","","07_30 a 34","1"
"06","2","V48","","10_45 a 49","1"
"90","1","Q27","","08_35 a 39","1"
"06","1","C41","","11_50 a 54","3"
"58","1","I25","","14_65 a 69","3"
"22","2","C25","","12_55 a 59","3"
"98","2","C50","","07_30 a 34","1"
"18","1","V23","","04_15 a 19","2"
