"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"10","1","E78","","14_65 a 69","1"
"38","2","O06","M","08_35 a 39","1"
"86","1","K71","","08_35 a 39","1"
"50","1","I11","","14_65 a 69","7"
"70","1","C85","","10_45 a 49","1"
"82","2","G70","","17_80 y más","2"
"14","1","G93","","13_60 a 64","2"
"26","1","J84","","16_75 a 79","1"
"14","2","I50","","13_60 a 64","24"
"06","2","D43","","16_75 a 79","26"
"30","1","R68","","15_70 a 74","2"
"66","2","I46","","17_80 y más","3"
"18","1","V29","","13_60 a 64","1"
"82","1","A41","","13_60 a 64","36"
"82","1","I80","","17_80 y más","1"
"66","2","N19","","17_80 y más","1"
"18","2","J98","","10_45 a 49","1"
"14","1","V89","","11_50 a 54","7"
"42","1","X74","","06_25 a 29","2"
"22","1","D59","","08_35 a 39","1"
"18","2","K85","","12_55 a 59","1"
"10","2","C51","","15_70 a 74","1"
"06","2","X91","","07_30 a 34","2"
"50","1","V43","","06_25 a 29","12"
"50","2","D46","","17_80 y más","1"
"02","1","C22","","11_50 a 54","3"
"26","2","C80","","15_70 a 74","1"
"62","2","X70","","17_80 y más","1"
"06","2","K12","","16_75 a 79","1"
"82","2","C25","","16_75 a 79","35"
"02","1","I73","","14_65 a 69","1"
"10","1","I71","","17_80 y más","1"
"90","1","C80","","12_55 a 59","3"
"90","1","W67","","04_15 a 19","1"
"86","1","N18","","09_40 a 44","1"
"82","2","L97","","16_75 a 79","1"
"34","2","C24","","08_35 a 39","1"
"58","1","C18","","16_75 a 79","3"
"18","2","D70","","16_75 a 79","1"
"06","1","P28","","01_Menor de 1 año","46"
"22","1","C49","","16_75 a 79","1"
"14","1","G04","","08_35 a 39","1"
"62","2","J18","","17_80 y más","44"
"62","1","I33","","12_55 a 59","1"
"66","1","I64","","08_35 a 39","1"
"82","2","C71","","12_55 a 59","6"
"06","1","I62","","15_70 a 74","8"
"14","2","C34","","13_60 a 64","25"
"30","2","C54","","17_80 y más","5"
"86","1","G31","","12_55 a 59","2"
"58","2","C91","","16_75 a 79","1"
"22","1","I47","","17_80 y más","1"
"22","2","M72","","01_Menor de 1 año","1"
"30","1","C38","","14_65 a 69","1"
"94","2","N18","","15_70 a 74","1"
"50","1","I99","","12_55 a 59","1"
"70","2","I63","","17_80 y más","4"
"82","1","N28","","12_55 a 59","1"
"82","2","G61","","16_75 a 79","1"
"06","2","C95","","09_40 a 44","1"
"26","1","R64","","16_75 a 79","1"
"54","1","J18","","17_80 y más","32"
"82","2","C80","","15_70 a 74","21"
"90","1","E66","","12_55 a 59","1"
"58","1","C92","","11_50 a 54","1"
"18","1","W87","","99_Sin especificar","1"
"50","2","R64","","17_80 y más","2"
"90","2","X70","","05_20 a 24","4"
"66","1","G61","","12_55 a 59","1"
"78","1","X80","","04_15 a 19","1"
"38","2","C18","","16_75 a 79","3"
"14","1","I67","","14_65 a 69","18"
"90","1","R96","","14_65 a 69","6"
"86","1","J98","","13_60 a 64","2"
"66","1","C32","","15_70 a 74","3"
"74","1","K85","","17_80 y más","1"
"70","2","X47","","09_40 a 44","1"
"78","2","K74","","14_65 a 69","1"
"06","1","G06","","17_80 y más","1"
"82","1","I27","","01_Menor de 1 año","1"
"62","1","J93","","16_75 a 79","1"
"70","2","G20","","17_80 y más","3"
"06","1","R55","","13_60 a 64","3"
"94","2","C20","","11_50 a 54","1"
"86","2","C55","","14_65 a 69","1"
"82","2","R55","","17_80 y más","1"
"30","1","D64","","17_80 y más","1"
"46","2","C50","","16_75 a 79","3"
"06","2","I09","","15_70 a 74","1"
"30","2","V54","","15_70 a 74","1"
"74","2","C20","","11_50 a 54","1"
"34","1","I71","","14_65 a 69","1"
"74","1","C71","","03_10 a 14","1"
"06","1","J86","","02_1 a 9","1"
"22","1","C16","","13_60 a 64","4"
"54","2","I21","","15_70 a 74","11"
"54","1","G20","","15_70 a 74","2"
"02","1","C25","","08_35 a 39","2"
"62","1","D46","","04_15 a 19","1"
"30","1","C82","","14_65 a 69","1"
"06","1","I51","","12_55 a 59","16"
"86","1","J44","","12_55 a 59","3"
"18","2","Y24","","05_20 a 24","1"
"30","1","I64","","04_15 a 19","1"
"66","1","C80","","07_30 a 34","1"
"02","2","K80","","16_75 a 79","1"
"02","1","K63","","17_80 y más","4"
"06","1","E66","","14_65 a 69","2"
"42","1","C85","","13_60 a 64","1"
"10","2","M34","","17_80 y más","1"
"18","1","C95","","15_70 a 74","2"
"14","2","I50","","15_70 a 74","73"
"70","2","I85","","16_75 a 79","2"
"06","2","C16","","16_75 a 79","59"
"06","9","C25","","17_80 y más","1"
"42","1","C61","","16_75 a 79","4"
"62","2","C80","","09_40 a 44","2"
"62","2","C53","","16_75 a 79","2"
"74","1","K72","","15_70 a 74","1"
"82","2","C21","","17_80 y más","2"
"26","1","X99","","05_20 a 24","4"
"30","2","O03","M","06_25 a 29","1"
"38","1","J90","","17_80 y más","3"
"46","2","X70","","08_35 a 39","1"
"86","2","I61","","13_60 a 64","2"
"06","2","M86","","14_65 a 69","2"
"14","2","I80","","17_80 y más","7"
"74","1","W79","","17_80 y más","1"
"06","1","G93","","99_Sin especificar","1"
"62","1","I49","","14_65 a 69","1"
"14","1","C62","","09_40 a 44","2"
"50","1","I24","","12_55 a 59","1"
"02","2","A16","","10_45 a 49","2"
"02","2","I99","","10_45 a 49","1"
"58","2","I62","","17_80 y más","1"
"26","1","I42","","12_55 a 59","1"
"14","1","I51","","12_55 a 59","3"
"62","1","C18","","12_55 a 59","2"
"06","1","B39","","09_40 a 44","3"
"42","1","C91","","17_80 y más","1"
"50","1","F17","","11_50 a 54","1"
"26","2","B59","","07_30 a 34","1"
"06","1","X47","","17_80 y más","7"
"18","2","C97","","10_45 a 49","1"
"98","1","I21","","13_60 a 64","1"
"22","1","K70","","15_70 a 74","3"
"02","1","A41","","12_55 a 59","13"
"06","2","Y83","","11_50 a 54","12"
"38","1","X31","","17_80 y más","1"
"38","2","J85","","11_50 a 54","1"
"70","2","J18","","14_65 a 69","11"
"70","1","V74","","03_10 a 14","1"
"14","2","I34","","14_65 a 69","1"
"54","1","V03","","13_60 a 64","2"
"02","1","I99","","07_30 a 34","1"
"14","1","B17","","07_30 a 34","1"
"02","1","C02","","15_70 a 74","1"
"50","1","K70","","07_30 a 34","1"
"34","1","B90","","09_40 a 44","1"
"02","1","B16","","15_70 a 74","1"
"06","1","V54","","13_60 a 64","1"
"38","2","C56","","12_55 a 59","1"
"90","1","V27","","05_20 a 24","1"
"06","1","Y21","","16_75 a 79","2"
"70","2","P28","","01_Menor de 1 año","2"
"38","2","F10","","99_Sin especificar","1"
"06","1","C23","","17_80 y más","9"
"46","1","J96","","12_55 a 59","2"
"14","2","R57","","04_15 a 19","1"
"46","1","J93","","17_80 y más","1"
"70","2","I61","","15_70 a 74","2"
"14","1","X95","","08_35 a 39","3"
"06","1","E86","","16_75 a 79","34"
"82","2","W79","","14_65 a 69","1"
"22","1","C18","","10_45 a 49","2"
"86","2","C77","","11_50 a 54","1"
"70","1","C90","","12_55 a 59","2"
"06","1","V24","","08_35 a 39","1"
"74","2","V04","","12_55 a 59","1"
"06","1","X70","","03_10 a 14","8"
"30","2","A16","","16_75 a 79","1"
"14","1","X70","","03_10 a 14","4"
"62","1","W34","","06_25 a 29","1"
"06","1","G93","","08_35 a 39","5"
"70","1","I67","","13_60 a 64","1"
"02","2","W74","","13_60 a 64","1"
"22","2","I42","","16_75 a 79","7"
"46","1","R98","","17_80 y más","19"
"34","2","I35","","13_60 a 64","1"
"98","1","J81","","14_65 a 69","1"
"90","2","C24","","13_60 a 64","2"
"82","2","C22","","14_65 a 69","11"
"06","1","Y26","","16_75 a 79","2"
"02","1","C85","","05_20 a 24","1"
"06","1","R50","","16_75 a 79","1"
"02","1","I71","","14_65 a 69","13"
"18","2","I47","","17_80 y más","3"
"74","1","C83","","16_75 a 79","1"
"18","1","R58","","13_60 a 64","1"
"22","2","I51","","11_50 a 54","2"
"06","1","D68","","02_1 a 9","1"
"62","2","C53","","12_55 a 59","1"
"30","1","C48","","10_45 a 49","1"
"86","1","R02","","17_80 y más","1"
"99","1","J18","","07_30 a 34","2"
"18","1","C75","","14_65 a 69","1"
"22","1","K85","","12_55 a 59","2"
"42","1","G04","","01_Menor de 1 año","1"
"14","2","X74","","16_75 a 79","1"
"62","2","D41","","15_70 a 74","1"
"30","1","C18","","10_45 a 49","2"
"18","1","K26","","14_65 a 69","1"
"70","1","V53","","16_75 a 79","1"
"26","1","A41","","11_50 a 54","4"
"50","2","D47","","17_80 y más","4"
"66","2","C20","","15_70 a 74","2"
"66","2","O72","M","06_25 a 29","1"
"82","2","W87","","04_15 a 19","1"
"54","1","X59","","04_15 a 19","6"
"30","1","X74","","06_25 a 29","1"
"66","2","C24","","16_75 a 79","1"
"06","2","K43","","10_45 a 49","1"
"26","2","N18","","16_75 a 79","4"
"66","2","W87","","02_1 a 9","1"
"02","2","C44","","17_80 y más","7"
"42","1","J15","","16_75 a 79","1"
"06","1","C32","","15_70 a 74","46"
"58","1","K63","","17_80 y más","1"
"50","1","X13","","10_45 a 49","1"
"62","2","M86","","14_65 a 69","1"
"06","1","I63","","15_70 a 74","12"
"06","2","X99","","06_25 a 29","3"
"02","1","B21","","12_55 a 59","1"
"99","1","G20","","17_80 y más","1"
"58","2","C54","","15_70 a 74","2"
"54","1","X59","","12_55 a 59","4"
"54","2","I47","","01_Menor de 1 año","1"
"14","2","K70","","13_60 a 64","2"
"66","1","J44","","11_50 a 54","1"
"58","1","I38","","14_65 a 69","1"
"78","2","P29","","01_Menor de 1 año","1"
"66","1","F10","","15_70 a 74","3"
"82","2","V89","","15_70 a 74","2"
"86","2","K76","","13_60 a 64","1"
"58","2","W18","","17_80 y más","2"
"10","2","C90","","17_80 y más","1"
"06","1","J15","","11_50 a 54","5"
"22","1","I25","","14_65 a 69","6"
"02","2","X59","","09_40 a 44","1"
"58","2","I08","","17_80 y más","1"
"82","2","C43","","10_45 a 49","1"
"06","1","E66","","06_25 a 29","1"
"34","1","C43","","09_40 a 44","1"
"42","1","X59","","07_30 a 34","1"
"14","2","C91","","02_1 a 9","1"
"06","2","G93","","06_25 a 29","3"
"10","1","K72","","10_45 a 49","1"
"06","1","Q24","","14_65 a 69","1"
"42","2","C34","","17_80 y más","3"
"82","1","J46","","11_50 a 54","2"
"22","1","V24","","13_60 a 64","1"
"26","2","C34","","10_45 a 49","4"
"62","1","K63","","15_70 a 74","2"
"90","1","J98","","12_55 a 59","4"
"82","1","X95","","05_20 a 24","12"
"22","1","I21","","12_55 a 59","14"
"06","1","G82","","16_75 a 79","1"
"30","1","X74","","09_40 a 44","1"
"50","1","I64","","14_65 a 69","27"
"62","1","N18","","15_70 a 74","10"
"78","2","I50","","14_65 a 69","2"
"06","2","J21","","02_1 a 9","4"
"10","2","J98","","17_80 y más","30"
"18","2","W87","","06_25 a 29","2"
"82","1","N18","","11_50 a 54","5"
"78","2","N19","","14_65 a 69","1"
"70","1","X99","","05_20 a 24","1"
"50","1","M32","","11_50 a 54","1"
"10","1","C18","","15_70 a 74","2"
"54","2","X59","","02_1 a 9","4"
"14","2","I47","","07_30 a 34","1"
"38","2","I51","","11_50 a 54","1"
"74","1","C25","","17_80 y más","2"
"50","2","K22","","17_80 y más","2"
"06","2","C49","","09_40 a 44","2"
"82","1","A41","","11_50 a 54","14"
"22","1","X99","","09_40 a 44","1"
"06","1","R96","","16_75 a 79","35"
"46","2","A41","","17_80 y más","17"
"66","1","D53","","16_75 a 79","1"
"22","1","W74","","06_25 a 29","1"
"26","1","I49","","15_70 a 74","1"
"34","2","A41","","07_30 a 34","2"
"50","1","I61","","16_75 a 79","13"
"34","1","C67","","11_50 a 54","1"
"78","1","C16","","14_65 a 69","2"
"30","2","D69","","16_75 a 79","1"
"82","2","D43","","15_70 a 74","9"
"34","2","E46","","16_75 a 79","1"
"06","1","R02","","14_65 a 69","1"
"82","1","G30","","14_65 a 69","3"
"82","1","I74","","11_50 a 54","1"
"90","2","J96","","16_75 a 79","10"
"62","2","I42","","13_60 a 64","1"
"66","1","Y28","","11_50 a 54","1"
"30","1","L08","","16_75 a 79","1"
"30","2","Q90","","01_Menor de 1 año","1"
"42","2","E43","","17_80 y más","1"
"38","1","V03","","16_75 a 79","1"
"90","2","C53","","13_60 a 64","4"
"22","1","K86","","12_55 a 59","1"
"18","2","C41","","16_75 a 79","1"
"38","2","O02","M","06_25 a 29","1"
"38","1","R54","","15_70 a 74","1"
"62","2","C41","","04_15 a 19","1"
"86","2","J98","","15_70 a 74","2"
"50","1","B17","","16_75 a 79","1"
"62","1","V89","","09_40 a 44","2"
"82","1","I31","","15_70 a 74","2"
"06","2","J69","","06_25 a 29","1"
"38","1","C64","","13_60 a 64","2"
"74","2","W18","","17_80 y más","2"
"18","9","A41","","03_10 a 14","1"
"22","2","C78","","14_65 a 69","1"
"02","2","N28","","17_80 y más","1"
"30","1","F17","","15_70 a 74","1"
"50","1","X78","","17_80 y más","1"
"82","1","I26","","16_75 a 79","11"
"50","1","I44","","13_60 a 64","1"
"38","1","K70","","17_80 y más","2"
"82","2","I50","","03_10 a 14","1"
"26","2","C24","","16_75 a 79","1"
"30","2","I61","","08_35 a 39","2"
"54","1","I11","","06_25 a 29","1"
"90","1","K72","","17_80 y más","10"
"82","1","E43","","16_75 a 79","1"
"26","2","V03","","10_45 a 49","1"
"10","1","C25","","16_75 a 79","1"
"22","1","B24","","08_35 a 39","1"
"66","2","I49","","06_25 a 29","1"
"70","1","V24","","04_15 a 19","1"
"06","2","C75","","17_80 y más","1"
"99","1","E43","","11_50 a 54","1"
"26","1","W74","","15_70 a 74","1"
"22","1","C80","","14_65 a 69","3"
"18","2","A41","","16_75 a 79","18"
"06","2","C48","","17_80 y más","5"
"22","1","X70","","08_35 a 39","1"
"50","1","J81","","15_70 a 74","5"
"58","1","D37","","15_70 a 74","1"
"18","2","X99","","10_45 a 49","1"
"14","2","E46","","16_75 a 79","4"
"70","1","N19","","14_65 a 69","1"
"46","1","C25","","11_50 a 54","2"
"90","2","J90","","16_75 a 79","3"
"82","1","K73","","15_70 a 74","1"
"62","1","I61","","11_50 a 54","3"
"66","2","W05","","16_75 a 79","1"
"90","2","C41","","14_65 a 69","1"
"62","2","I11","","17_80 y más","8"
"78","2","C22","","17_80 y más","1"
"50","1","C80","","12_55 a 59","8"
"38","2","M06","","15_70 a 74","1"
"62","2","I11","","16_75 a 79","6"
"58","2","C16","","10_45 a 49","2"
"82","1","C19","","14_65 a 69","2"
