"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"34","1","E14","","08_35 a 39","1"
"54","2","C92","","15_70 a 74","2"
"18","2","Y34","","14_65 a 69","1"
"54","1","L98","","12_55 a 59","1"
"22","1","I63","","17_80 y más","1"
"58","2","J13","","17_80 y más","1"
"66","2","R95","","01_Menor de 1 año","6"
"22","1","W13","","06_25 a 29","1"
"46","1","C61","","17_80 y más","9"
"46","1","D48","","17_80 y más","1"
"14","2","I64","","04_15 a 19","1"
"58","2","C80","","13_60 a 64","1"
"14","2","P77","","01_Menor de 1 año","1"
"18","1","C18","","14_65 a 69","14"
"78","1","C80","","13_60 a 64","3"
"54","1","B24","","08_35 a 39","6"
"14","1","I26","","14_65 a 69","8"
"14","1","L08","","16_75 a 79","2"
"06","1","A41","","06_25 a 29","12"
"30","2","I21","","17_80 y más","89"
"30","2","R10","","14_65 a 69","4"
"06","2","V48","","11_50 a 54","1"
"14","1","N18","","15_70 a 74","20"
"70","1","B23","","12_55 a 59","1"
"50","1","F10","","14_65 a 69","5"
"18","2","I13","","17_80 y más","2"
"06","2","Q24","","05_20 a 24","1"
"58","1","J96","","17_80 y más","2"
"70","1","K76","","16_75 a 79","2"
"38","1","A41","","08_35 a 39","1"
"38","1","I21","","15_70 a 74","4"
"46","2","G30","","13_60 a 64","1"
"22","1","K55","","09_40 a 44","1"
"66","2","C95","","17_80 y más","1"
"86","2","I60","","10_45 a 49","1"
"34","1","J96","","15_70 a 74","1"
"06","1","I60","","15_70 a 74","13"
"02","1","K72","","16_75 a 79","8"
"02","2","G00","","16_75 a 79","1"
"14","1","D64","","13_60 a 64","2"
"42","1","X78","","16_75 a 79","1"
"18","1","C18","","12_55 a 59","4"
"02","1","C67","","12_55 a 59","7"
"30","1","D38","","16_75 a 79","2"
"94","1","X70","","07_30 a 34","1"
"46","1","C95","","17_80 y más","2"
"54","1","K74","","14_65 a 69","1"
"02","2","L89","","13_60 a 64","1"
"22","1","I31","","15_70 a 74","2"
"62","1","B57","","17_80 y más","2"
"06","1","D89","","16_75 a 79","1"
"86","1","R96","","14_65 a 69","3"
"34","1","I64","","14_65 a 69","10"
"26","1","N19","","12_55 a 59","1"
"50","2","B20","","07_30 a 34","2"
"58","1","C64","","10_45 a 49","1"
"90","1","F17","","17_80 y más","2"
"98","2","C34","","13_60 a 64","1"
"50","1","I21","","17_80 y más","188"
"02","1","C09","","14_65 a 69","1"
"06","1","P02","","01_Menor de 1 año","10"
"06","2","J21","","01_Menor de 1 año","16"
"30","1","Y24","","11_50 a 54","1"
"66","1","C44","","17_80 y más","5"
"50","1","X82","","13_60 a 64","1"
"06","1","J44","","08_35 a 39","2"
"86","2","C34","","08_35 a 39","1"
"06","2","I61","","11_50 a 54","40"
"78","2","J18","","16_75 a 79","5"
"34","2","I26","","14_65 a 69","1"
"66","2","J44","","17_80 y más","42"
"10","1","I64","","15_70 a 74","6"
"30","2","B90","","14_65 a 69","1"
"50","2","I11","","09_40 a 44","1"
"22","2","V43","","09_40 a 44","1"
"22","2","J44","","02_1 a 9","1"
"82","2","J40","","17_80 y más","7"
"90","2","N18","","02_1 a 9","1"
"66","1","D61","","12_55 a 59","1"
"50","1","E71","","05_20 a 24","1"
"46","1","Y34","","13_60 a 64","1"
"82","1","V53","","06_25 a 29","2"
"82","2","F03","","14_65 a 69","2"
"98","2","F20","","15_70 a 74","1"
"90","2","C55","","04_15 a 19","1"
"42","1","J98","","14_65 a 69","1"
"02","1","B23","","15_70 a 74","2"
"98","2","I05","","17_80 y más","1"
"70","2","R57","","17_80 y más","3"
"94","1","G31","","17_80 y más","1"
"06","1","D47","","13_60 a 64","4"
"50","2","I71","","12_55 a 59","1"
"54","2","C50","","16_75 a 79","10"
"66","2","X70","","09_40 a 44","1"
"14","2","B44","","12_55 a 59","1"
"90","2","D64","","14_65 a 69","2"
"58","2","R95","","01_Menor de 1 año","1"
"18","1","X78","","12_55 a 59","1"
"34","2","I51","","15_70 a 74","1"
