"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"38","1","P77","","01_Menor de 1 año","3"
"06","2","X47","","04_15 a 19","2"
"82","1","I25","","11_50 a 54","3"
"30","1","C18","","17_80 y más","13"
"10","2","I99","","17_80 y más","1"
"22","2","D43","","17_80 y más","1"
"22","2","R95","","01_Menor de 1 año","2"
"38","1","W15","","03_10 a 14","1"
"30","1","G62","","15_70 a 74","1"
"62","2","C67","","17_80 y más","4"
"14","2","E87","","17_80 y más","18"
"34","1","I21","","04_15 a 19","1"
"06","1","X74","","09_40 a 44","23"
"54","2","X59","","08_35 a 39","3"
"82","1","C74","","14_65 a 69","1"
"62","2","Q79","","01_Menor de 1 año","2"
"74","2","C85","","08_35 a 39","1"
"26","2","I11","","15_70 a 74","1"
"02","1","I35","","15_70 a 74","7"
"66","1","R99","","09_40 a 44","2"
"10","1","G12","","11_50 a 54","1"
"90","1","C95","","16_75 a 79","1"
"22","2","C53","","07_30 a 34","1"
"90","2","E46","","08_35 a 39","1"
"06","2","G80","","16_75 a 79","1"
"70","2","E14","","15_70 a 74","15"
"62","1","X70","","16_75 a 79","1"
"14","1","G35","","10_45 a 49","1"
"90","1","N19","","06_25 a 29","1"
"06","2","E46","","04_15 a 19","1"
"10","1","V48","","04_15 a 19","1"
"06","1","X09","","17_80 y más","9"
"38","1","V89","","11_50 a 54","2"
"90","1","H92","","12_55 a 59","1"
"38","1","I63","","15_70 a 74","1"
"62","1","G35","","16_75 a 79","1"
"62","1","D12","","17_80 y más","1"
"46","1","I10","","13_60 a 64","2"
"14","2","M05","","16_75 a 79","1"
"06","2","D56","","16_75 a 79","1"
"50","2","A09","","14_65 a 69","3"
"46","2","P36","","01_Menor de 1 año","1"
"66","1","J40","","17_80 y más","1"
"06","1","C67","","14_65 a 69","76"
"62","1","Y09","","05_20 a 24","1"
"62","1","I50","","11_50 a 54","1"
"18","2","D65","","16_75 a 79","3"
"82","2","Y83","","17_80 y más","63"
"06","2","L89","","13_60 a 64","3"
"06","2","K52","","06_25 a 29","1"
"02","1","X74","","08_35 a 39","2"
"82","1","J81","","12_55 a 59","3"
"06","2","I67","","12_55 a 59","14"
"06","2","Y24","","15_70 a 74","1"
"82","2","K31","","12_55 a 59","1"
"82","1","R96","","07_30 a 34","2"
"18","1","I64","","17_80 y más","45"
"18","2","B24","","11_50 a 54","1"
"22","1","C41","","04_15 a 19","1"
"50","1","I82","","17_80 y más","1"
"82","2","C43","","17_80 y más","7"
"02","1","E11","","11_50 a 54","1"
