age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,39 (0 ± 0),-13 (0 ± 0),5 (0 ± 0),-0 (0 ± 0),4 (0 ± 0),-3 (0 ± 0)
02.de 20 a 39 anios,-63 (0 ± 0),-2 (0 ± 0),-11 (0 ± 0),0 (0 ± 0),4 (0 ± 0),-4 (0 ± 0)
03.de 40 a 49 anios,-27 (0 ± 0),19 (0 ± 0),-4 (0 ± 0),-0 (0 ± 0),8 (0 ± 0),-3 (0 ± 0)
04.de 50 a 59 anios,67 (0 ± 0),71 (0 ± 0),63 (0 ± 0),-3 (0 ± 0),0 (0 ± 0),-6 (0 ± 0)
05.de 60 a 69 anios,61 (0 ± 0),-47 (0 ± 0),-69 (0 ± 0),13 (0 ± 0),12 (0 ± 0),1 (0 ± 0)
06.de 70 a 79 anios,77 (0 ± 0),-333 (0 ± 0),-43 (0 ± 0),-30 (0 ± 0),32 (0 ± 0),-14 (0 ± 0)
07.de 80 anios y mas,-535 (0 ± 0),-666 (0 ± 0),3 (0 ± 0),-38 (0 ± 0),-12 (0 ± 0),-4 (0 ± 0)
08.sin especificar,-46 (0 ± 0),-29 (0 ± 0),-7 (0 ± 0),-2 (0 ± 0),2 (0 ± 0),0 (0 ± 0)
