age,anio_def,pred_resp,pred_circ,pred_diabetes,pred_alzheimer,pred_metabolic,pred_anemia,covid_sum.x,covid_sq_sum.x,excess_total,cause,excess_resp,excess_circ,excess_diabetes,excess_alzheimer,excess_metabolic,excess_anemia,covid_sum.y,covid_sq_sum.y,pred_sum,covid_sum,covid_sq_sum,coef,se,attributable,se_attrib,lower95,upper95
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,-77.32242265407683,resp,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,966.3224226540768,0,0,1.63583207313997,1.719585508407,0,0,0,0
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,-36.39173275245285,circ,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,309.39173275245287,0,0,-0.0469684942271819,0.908516950895465,-0,0,-0,0
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,-7.968605561416922,diabetes,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,15.968605561416922,0,0,-0.568433019868638,0.255032771433392,-0,0,-0,0
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,-0.2217861883530128,alzheimer,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,0.2217861883530128,0,0,0.00591244016104808,0.00815840064309174,0,0,0,0
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,-15.683080902622049,metabolic,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,104.68308090262205,0,0,0.327923296136504,0.64444093741183,0,0,0,0
01.menor a 20 anios,2015,966.3224226540768,309.39173275245287,15.968605561416922,0.2217861883530128,104.68308090262205,36.81650726660013,0,0,1.1834927333998748,anemia,-77.32242265407683,-36.39173275245285,-7.968605561416922,-0.2217861883530128,-15.683080902622049,1.1834927333998748,0,0,36.81650726660013,0,0,0.456130678201811,0.305710812458041,0,0,0,0
01.menor a 20 anios,2016,918.8612113270347,294.19586637622524,15.184302780708398,0.21089309417650556,99.54154045131062,35.008253633299915,0,0,91.13878867296533,resp,91.13878867296533,5.804133623774781,0.8156972192916017,-0.21089309417650556,-8.541540451310617,7.991746366700082,0,0,918.8612113270347,0,0,NA,1.719585508407,NA,0,NA,NA
01.menor a 20 anios,2016,918.8612113270347,294.19586637622524,15.184302780708398,0.21089309417650556,99.54154045131062,35.008253633299915,0,0,5.804133623774781,circ,91.13878867296533,5.804133623774781,0.8156972192916017,-0.21089309417650556,-8.541540451310617,7.991746366700082,0,0,294.19586637622524,0,0,NA,0.908516950895465,NA,0,NA,NA
01.menor a 20 anios,2016,918.8612113270347,294.19586637622524,15.184302780708398,0.21089309417650556,99.54154045131062,35.008253633299915,0,0,0.8156972192916017,diabetes,91.13878867296533,5.804133623774781,0.8156972192916017,-0.21089309417650556,-8.541540451310617,7.991746366700082,0,0,15.184302780708398,0,0,NA,0.255032771433392,NA,0,NA,NA
01.menor a 20 anios,2016,918.8612113270347,294.19586637622524,15.184302780708398,0.21089309417650556,99.54154045131062,35.008253633299915,0,0,-0.21089309417650556,alzheimer,91.13878867296533,5.804133623774781,0.8156972192916017,-0.21089309417650556,-8.541540451310617,7.991746366700082,0,0,0.21089309417650556,0,0,NA,0.00815840064309174,NA,0,NA,NA
01.menor a 20 anios,2016,918.8612113270347,294.19586637622524,15.184302780708398,0.21089309417650556,99.54154045131062,35.008253633299915,0,0,-8.541540451310617,metabolic,91.13878867296533,5.804133623774781,0.8156972192916017,-0.21089309417650556,-8.541540451310617,7.991746366700082,0,0,99.54154045131062,0,0,NA,0.64444093741183,NA,0,NA,NA
