age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-4 (0 ± 0),18 (0 ± 0),-1 (0 ± 0),1 (0 ± 0),7 (0 ± 0),-7 (0 ± 0)
02.de 20 a 39 anios,49 (0 ± 0),65 (0 ± 0),18 (0 ± 0),1 (0 ± 0),2 (0 ± 0),-0 (0 ± 0)
03.de 40 a 49 anios,10 (0 ± 0),23 (0 ± 0),8 (0 ± 0),1 (0 ± 0),4 (0 ± 0),-6 (0 ± 0)
04.de 50 a 59 anios,23 (0 ± 0),-97 (0 ± 0),25 (0 ± 0),-2 (0 ± 0),1 (0 ± 0),-12 (0 ± 0)
05.de 60 a 69 anios,61 (0 ± 0),-131 (0 ± 0),-16 (0 ± 0),-15 (0 ± 0),-2 (0 ± 0),-17 (0 ± 0)
06.de 70 a 79 anios,83 (0 ± 0),-477 (0 ± 0),-23 (0 ± 0),4 (0 ± 0),-17 (0 ± 0),-27 (0 ± 0)
07.de 80 anios y mas,-676 (0 ± 0),-1320 (0 ± 0),-128 (0 ± 0),-119 (0 ± 0),-49 (0 ± 0),-41 (0 ± 0)
08.sin especificar,22 (0 ± 0),18 (0 ± 0),-11 (0 ± 0),-4 (0 ± 0),-0 (0 ± 0),-0 (0 ± 0)
