age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-77 (0 ± 0),-36 (-0 ± 0),-8 (-0 ± 0),-0 (0 ± 0),-16 (0 ± 0),1 (0 ± 0)
02.de 20 a 39 anios,-161 (0 ± 0),-124 (-0 ± 0),-16 (-0 ± 0),-2 (-0 ± 0),-12 (0 ± 0),-0 (0 ± 0)
03.de 40 a 49 anios,-166 (0 ± 0),-38 (0 ± 0),-31 (0 ± 0),-0 (0 ± 0),-11 (0 ± 0),6 (-0 ± 0)
04.de 50 a 59 anios,-348 (0 ± 0),-112 (0 ± 0),-38 (0 ± 0),2 (0 ± 0),-6 (0 ± 0),-2 (0 ± 0)
05.de 60 a 69 anios,-634 (0 ± 0),-321 (0 ± 0),148 (0 ± 0),-7 (0 ± 0),-35 (0 ± 0),-3 (-0 ± 0)
06.de 70 a 79 anios,-1184 (-0 ± 0),-106 (0 ± 0),25 (0 ± 0),2 (0 ± 0),-35 (0 ± 0),36 (0 ± 0)
07.de 80 anios y mas,-2430 (-0 ± 0),-332 (0 ± 0),4 (0 ± 0),-37 (0 ± 0),-75 (0 ± 0),56 (0 ± 0)
08.sin especificar,-66 (0 ± 0),-80 (-0 ± 0),1 (0 ± 0),-1 (-0 ± 0),-1 (0 ± 0),-1 (-0 ± 0)
