age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-48 (0 ± 0),25 (0 ± 0),3 (0 ± 0),-0 (0 ± 0),14 (0 ± 0),1 (0 ± 0)
02.de 20 a 39 anios,-1 (0 ± 0),48 (0 ± 0),-4 (0 ± 0),1 (0 ± 0),-6 (0 ± 0),-4 (0 ± 0)
03.de 40 a 49 anios,-22 (0 ± 0),-4 (0 ± 0),5 (0 ± 0),-1 (0 ± 0),3 (0 ± 0),6 (0 ± 0)
04.de 50 a 59 anios,-48 (0 ± 0),-145 (0 ± 0),-62 (0 ± 0),-2 (0 ± 0),5 (0 ± 0),1 (0 ± 0)
05.de 60 a 69 anios,69 (0 ± 0),-237 (0 ± 0),-126 (0 ± 0),-3 (0 ± 0),17 (0 ± 0),6 (0 ± 0)
06.de 70 a 79 anios,437 (0 ± 0),-184 (0 ± 0),-118 (0 ± 0),2 (0 ± 0),1 (0 ± 0),-3 (0 ± 0)
07.de 80 anios y mas,2424 (0 ± 0),181 (0 ± 0),-1 (0 ± 0),-1 (0 ± 0),51 (0 ± 0),-26 (0 ± 0)
08.sin especificar,92 (0 ± 0),63 (0 ± 0),10 (0 ± 0),5 (0 ± 0),1 (0 ± 0),4 (0 ± 0)
