age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-20 (0 ± 18),76 (0 ± 10),4 (0 ± 3),-0 (0 ± 0),4 (0 ± 7),7 (0 ± 3)
02.de 20 a 39 anios,297 (0 ± 43),318 (0 ± 33),10 (0 ± 8),-1 (0 ± 1),3 (0 ± 4),9 (0 ± 4)
03.de 40 a 49 anios,291 (0 ± 43),409 (0 ± 64),25 (0 ± 9),-1 (0 ± 0),16 (0 ± 6),3 (0 ± 4)
04.de 50 a 59 anios,699 (0 ± 53),853 (0 ± 80),27 (0 ± 23),3 (0 ± 1),22 (0 ± 6),5 (0 ± 3)
05.de 60 a 69 anios,1455 (0 ± 124),198 (0 ± 177),-256 (0 ± 29),10 (0 ± 5),24 (0 ± 15),9 (0 ± 3)
06.de 70 a 79 anios,3809 (0 ± 399),481 (0 ± 417),-288 (0 ± 47),22 (0 ± 12),25 (0 ± 21),17 (0 ± 8)
07.de 80 anios y mas,8214 (0 ± 932),3249 (0 ± 725),-147 (0 ± 32),-1 (0 ± 58),8 (0 ± 46),40 (0 ± 20)
08.sin especificar,-49 (0 ± 10),-44 (0 ± 18),-8 (0 ± 3),-2 (0 ± 1),-1 (0 ± 1),6 (0 ± 1)
