age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-246 (-189 ± 46),42 (3 ± 17),8 (3 ± 3),-0 (-0 ± 0),-1 (-19 ± 6),1 (-2 ± 4)
02.de 20 a 39 anios,201 (126 ± 55),175 (101 ± 65),50 (17 ± 8),-1 (0 ± 1),-6 (7 ± 6),-5 (7 ± 4)
03.de 40 a 49 anios,485 (365 ± 38),335 (137 ± 57),70 (35 ± 15),-1 (-0 ± 0),4 (-2 ± 5),0 (1 ± 3)
04.de 50 a 59 anios,1110 (682 ± 69),1040 (201 ± 68),164 (66 ± 16),1 (5 ± 2),7 (9 ± 4),6 (-8 ± 3)
05.de 60 a 69 anios,1674 (1383 ± 264),1012 (601 ± 195),44 (184 ± 51),-13 (12 ± 3),-5 (11 ± 7),10 (3 ± 5)
06.de 70 a 79 anios,1310 (606 ± 569),1494 (1003 ± 305),93 (207 ± 48),23 (-30 ± 13),6 (-20 ± 18),-8 (35 ± 13)
07.de 80 anios y mas,-3794 (-3081 ± 1325),4967 (905 ± 842),124 (121 ± 57),24 (109 ± 42),-176 (-60 ± 38),-49 (-20 ± 16)
08.sin especificar,-68 (9 ± 15),-5 (30 ± 17),-4 (5 ± 4),2 (3 ± 1),-2 (-0 ± 1),6 (-0 ± 3)
