age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,-322 (-121 ± 54),-1 (19 ± 13),10 (7 ± 4),-0 (-0 ± 0),-9 (2 ± 4),-10 (2 ± 3)
02.de 20 a 39 anios,-87 (8 ± 33),-41 (12 ± 30),35 (14 ± 10),2 (2 ± 1),0 (-7 ± 6),9 (22 ± 3)
03.de 40 a 49 anios,-36 (56 ± 45),98 (180 ± 31),25 (112 ± 16),4 (-1 ± 1),-1 (-4 ± 4),4 (-4 ± 5)
04.de 50 a 59 anios,81 (285 ± 99),112 (297 ± 111),64 (89 ± 20),1 (1 ± 2),-12 (-2 ± 5),-3 (-4 ± 4)
05.de 60 a 69 anios,-264 (782 ± 188),-497 (586 ± 152),165 (267 ± 42),-3 (9 ± 6),-6 (-5 ± 11),-14 (3 ± 6)
06.de 70 a 79 anios,-784 (1017 ± 381),-1017 (1371 ± 348),105 (316 ± 67),-3 (-14 ± 19),-63 (18 ± 15),-28 (-13 ± 12)
07.de 80 anios y mas,-6199 (-481 ± 1073),570 (2951 ± 554),239 (310 ± 48),63 (84 ± 23),-306 (-10 ± 31),-102 (21 ± 23)
08.sin especificar,119 (123 ± 28),221 (131 ± 52),8 (1 ± 4),1 (2 ± 1),2 (2 ± 3),1 (4 ± 3)
