age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,67 (-12 ± 30),93 (-14 ± 10),10 (6 ± 1),-0 (0 ± 0),0 (2 ± 3),-0 (3 ± 2)
02.de 20 a 39 anios,155 (49 ± 32),241 (-20 ± 26),39 (21 ± 4),0 (-1 ± 1),2 (1 ± 3),-1 (-3 ± 2)
03.de 40 a 49 anios,209 (67 ± 25),382 (99 ± 23),35 (23 ± 7),3 (-1 ± 1),5 (11 ± 5),-6 (-1 ± 2)
04.de 50 a 59 anios,713 (248 ± 52),903 (192 ± 85),152 (38 ± 19),-3 (1 ± 1),22 (-3 ± 3),14 (1 ± 3)
05.de 60 a 69 anios,1624 (469 ± 120),1205 (463 ± 126),-119 (178 ± 29),2 (15 ± 5),25 (14 ± 7),-15 (12 ± 3)
06.de 70 a 79 anios,3909 (969 ± 137),2148 (1688 ± 317),17 (322 ± 30),30 (54 ± 5),99 (50 ± 9),-5 (-1 ± 7)
07.de 80 anios y mas,6086 (2192 ± 356),7124 (4708 ± 659),171 (383 ± 24),177 (163 ± 38),141 (138 ± 60),-14 (49 ± 25)
08.sin especificar,-145 (24 ± 12),-149 (14 ± 13),-15 (3 ± 5),-3 (-0 ± 1),-5 (-1 ± 1),4 (1 ± 1)
