age,anio_def,cause,excess_total,attributable,se_attrib,lower95,upper95
01.menor a 20 anios,2015,resp,-77.32242265407683,0,0,0,0
01.menor a 20 anios,2015,circ,-36.39173275245285,-0,0,-0,0
01.menor a 20 anios,2015,diabetes,-7.968605561416922,-0,0,-0,0
01.menor a 20 anios,2015,alzheimer,-0.2217861883530128,0,0,0,0
01.menor a 20 anios,2015,metabolic,-15.683080902622049,0,0,0,0
01.menor a 20 anios,2015,anemia,1.1834927333998748,0,0,0,0
01.menor a 20 anios,2016,resp,91.13878867296533,NA,0,NA,NA
01.menor a 20 anios,2016,circ,5.804133623774781,NA,0,NA,NA
01.menor a 20 anios,2016,diabetes,0.8156972192916017,NA,0,NA,NA
01.menor a 20 anios,2016,alzheimer,-0.21089309417650556,NA,0,NA,NA
01.menor a 20 anios,2016,metabolic,-8.541540451310617,NA,0,NA,NA
01.menor a 20 anios,2016,anemia,7.991746366700082,NA,0,NA,NA
01.menor a 20 anios,2017,resp,-48.39999999998042,NA,0,NA,NA
01.menor a 20 anios,2017,circ,25.00000000000628,NA,0,NA,NA
01.menor a 20 anios,2017,diabetes,2.600000000000324,NA,0,NA,NA
01.menor a 20 anios,2017,alzheimer,-0.19999999999999551,NA,0,NA,NA
01.menor a 20 anios,2017,metabolic,13.60000000000212,NA,0,NA,NA
01.menor a 20 anios,2017,anemia,0.8000000000007477,NA,0,NA,NA
01.menor a 20 anios,2018,resp,-3.938788672938756,NA,0,NA,NA
01.menor a 20 anios,2018,circ,18.19586637623376,NA,0,NA,NA
01.menor a 20 anios,2018,diabetes,-0.615697219291161,NA,0,NA,NA
01.menor a 20 anios,2018,alzheimer,0.8108930941765116,NA,0,NA,NA
01.menor a 20 anios,2018,metabolic,6.741540451313497,NA,0,NA,NA
01.menor a 20 anios,2018,anemia,-7.391746366699065,NA,0,NA,NA
01.menor a 20 anios,2019,resp,38.5224226541036,NA,0,NA,NA
01.menor a 20 anios,2019,circ,-12.608267247538532,NA,0,NA,NA
01.menor a 20 anios,2019,diabetes,5.168605561417365,NA,0,NA,NA
01.menor a 20 anios,2019,alzheimer,-0.17821381164698102,NA,0,NA,NA
01.menor a 20 anios,2019,metabolic,3.8830809026249486,NA,0,NA,NA
01.menor a 20 anios,2019,anemia,-2.58349273339885,NA,0,NA,NA
01.menor a 20 anios,2020,resp,-322.0163660188412,-121.3714514828866,27.698218849106425,-175.6599604271352,-67.08294253863801
01.menor a 20 anios,2020,circ,-1.4124008713067369,18.61800031851676,6.6617941280992055,5.560883827442318,31.675116809591202
