age,resp,circ,diabetes,alzheimer,metabolic,anemia
01.menor a 20 anios,91 (0 ± 0),6 (0 ± 0),1 (0 ± 0),-0 (0 ± 0),-9 (0 ± 0),8 (0 ± 0)
02.de 20 a 39 anios,178 (0 ± 0),13 (0 ± 0),13 (0 ± 0),-1 (0 ± 0),12 (0 ± 0),9 (0 ± 0)
03.de 40 a 49 anios,205 (0 ± 0),-2 (0 ± 0),22 (0 ± 0),1 (0 ± 0),-4 (0 ± 0),-2 (0 ± 0)
04.de 50 a 59 anios,308 (0 ± 0),283 (0 ± 0),12 (0 ± 0),5 (0 ± 0),1 (0 ± 0),19 (0 ± 0)
05.de 60 a 69 anios,443 (0 ± 0),736 (0 ± 0),64 (0 ± 0),12 (0 ± 0),8 (0 ± 0),13 (0 ± 0)
06.de 70 a 79 anios,588 (0 ± 0),1101 (0 ± 0),159 (0 ± 0),22 (0 ± 0),20 (0 ± 0),8 (0 ± 0)
07.de 80 anios y mas,1217 (0 ± 0),2137 (0 ± 0),123 (0 ± 0),195 (0 ± 0),85 (0 ± 0),15 (0 ± 0)
08.sin especificar,-2 (0 ± 0),28 (0 ± 0),8 (0 ± 0),2 (0 ± 0),-1 (0 ± 0),-2 (0 ± 0)
