"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"70","2","J18","","14_65 a 69","16"
"14","2","I34","","14_65 a 69","2"
"02","2","K70","","11_50 a 54","1"
"38","1","X31","","17_80 y más","1"
"22","1","K46","","16_75 a 79","3"
"02","1","C02","","15_70 a 74","2"
"02","2","Y20","","05_20 a 24","1"
"06","1","B87","","12_55 a 59","1"
"06","1","W27","","14_65 a 69","1"
"94","1","M31","","10_45 a 49","1"
"06","1","Y21","","16_75 a 79","1"
"70","2","P28","","01_Menor de 1 año","2"
"38","2","C56","","12_55 a 59","2"
"26","1","R57","","14_65 a 69","1"
"06","1","C23","","17_80 y más","7"
"82","1","Y33","","11_50 a 54","2"
"70","2","I61","","15_70 a 74","8"
"14","2","R57","","04_15 a 19","1"
"62","2","I61","","11_50 a 54","4"
"18","1","K40","","13_60 a 64","1"
"46","1","J96","","12_55 a 59","2"
"06","1","E86","","16_75 a 79","36"
"14","1","X95","","08_35 a 39","2"
"30","1","K85","","09_40 a 44","3"
"22","1","C18","","10_45 a 49","1"
"34","2","O90","M","07_30 a 34","1"
"70","1","C90","","12_55 a 59","1"
"90","2","G40","","06_25 a 29","2"
"06","1","X70","","03_10 a 14","7"
"78","2","I64","","12_55 a 59","1"
"14","1","X70","","03_10 a 14","2"
"06","1","G93","","08_35 a 39","3"
"58","1","K43","","13_60 a 64","1"
"70","1","I67","","13_60 a 64","1"
"90","1","F06","","16_75 a 79","1"
"22","2","I42","","16_75 a 79","2"
"38","2","D53","","16_75 a 79","1"
"78","1","K65","","13_60 a 64","1"
"46","1","R98","","17_80 y más","16"
"34","2","I35","","13_60 a 64","1"
"58","2","N17","","14_65 a 69","1"
"90","2","C24","","13_60 a 64","2"
"02","1","C85","","05_20 a 24","3"
"82","2","C22","","14_65 a 69","6"
"30","1","R55","","13_60 a 64","1"
"06","1","Y26","","16_75 a 79","4"
"18","1","C21","","17_80 y más","2"
"06","1","R50","","16_75 a 79","1"
"02","1","I71","","14_65 a 69","12"
"22","2","I51","","11_50 a 54","1"
"30","1","N49","","15_70 a 74","1"
