"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"50","2","R99","","11_50 a 54","1"
"14","1","F10","","12_55 a 59","3"
"06","1","G30","","13_60 a 64","3"
"74","2","C26","","17_80 y más","2"
"06","1","V49","","13_60 a 64","54"
"46","2","J96","","15_70 a 74","2"
"26","2","E14","","17_80 y más","11"
"74","1","C34","","13_60 a 64","8"
"26","1","J18","","13_60 a 64","6"
"22","2","N17","","17_80 y más","2"
"50","1","I35","","15_70 a 74","2"
"90","1","Q00","","01_Menor de 1 año","4"
"38","1","C64","","16_75 a 79","1"
"50","2","M32","","10_45 a 49","2"
"90","2","I64","","17_80 y más","100"
"90","2","I35","","11_50 a 54","1"
"50","2","I60","","15_70 a 74","1"
"02","2","R57","","13_60 a 64","2"
"02","2","Q90","","12_55 a 59","1"
"34","2","C16","","14_65 a 69","4"
"62","1","P07","","01_Menor de 1 año","21"
"82","2","C71","","05_20 a 24","1"
"86","1","R98","","12_55 a 59","1"
"22","2","J18","","12_55 a 59","7"
"14","1","K85","","14_65 a 69","6"
"82","2","Y21","","01_Menor de 1 año","1"
"14","1","W23","","08_35 a 39","2"
"82","1","I50","","15_70 a 74","60"
"58","1","K83","","13_60 a 64","1"
"66","1","W78","","14_65 a 69","1"
"06","2","G91","","08_35 a 39","1"
"90","1","C74","","09_40 a 44","1"
"06","1","I47","","09_40 a 44","1"
"38","2","K72","","17_80 y más","3"
"94","2","N18","","17_80 y más","1"
"02","1","J93","","14_65 a 69","2"
"86","2","I51","","02_1 a 9","1"
"98","1","X59","","09_40 a 44","3"
"54","1","A16","","16_75 a 79","1"
"82","2","C09","","13_60 a 64","1"
"14","2","C95","","13_60 a 64","1"
"02","2","X59","","14_65 a 69","4"
"14","1","J18","","16_75 a 79","138"
"02","1","C10","","11_50 a 54","1"
"50","1","P78","","01_Menor de 1 año","1"
"26","1","E11","","13_60 a 64","1"
"82","1","X59","","13_60 a 64","13"
"70","1","C26","","11_50 a 54","1"
"42","2","C50","","13_60 a 64","7"
"38","1","N39","","15_70 a 74","2"
"62","1","G40","","07_30 a 34","1"
"82","2","G80","","10_45 a 49","1"
"82","2","D75","","16_75 a 79","3"
"54","1","J44","","17_80 y más","38"
"30","1","C15","","11_50 a 54","3"
"54","1","J42","","15_70 a 74","1"
"06","1","V89","","17_80 y más","6"
"78","1","I11","","12_55 a 59","1"
"02","2","D65","","14_65 a 69","1"
"14","2","C15","","14_65 a 69","1"
"70","2","C57","","14_65 a 69","1"
"66","1","V43","","15_70 a 74","1"
"10","2","Y05","","02_1 a 9","1"
"34","1","W17","","11_50 a 54","1"
"86","1","C64","","11_50 a 54","3"
"30","1","N19","","08_35 a 39","1"
"70","1","P07","","01_Menor de 1 año","11"
"90","1","B27","","07_30 a 34","1"
"74","1","C22","","11_50 a 54","1"
"82","1","K65","","10_45 a 49","1"
"62","1","D33","","15_70 a 74","1"
"58","1","Y34","","10_45 a 49","1"
"14","1","C41","","10_45 a 49","1"
"30","1","C97","","16_75 a 79","4"
"06","2","G81","","17_80 y más","1"
"82","1","I71","","09_40 a 44","1"
"06","2","I26","","06_25 a 29","1"
"46","1","K92","","16_75 a 79","3"
"18","1","C20","","07_30 a 34","1"
"82","1","D73","","16_75 a 79","1"
"06","2","I34","","16_75 a 79","3"
"06","1","X67","","12_55 a 59","1"
"38","2","C48","","13_60 a 64","1"
"02","1","G96","","02_1 a 9","1"
"06","2","N12","","16_75 a 79","1"
"06","2","G95","","17_80 y más","1"
"34","2","A16","","03_10 a 14","1"
"86","1","V89","","12_55 a 59","4"
"30","2","I48","","17_80 y más","5"
"18","2","C92","","12_55 a 59","1"
"82","2","D47","","17_80 y más","1"
"90","1","Y23","","12_55 a 59","1"
"18","1","J18","","15_70 a 74","28"
"50","1","W87","","13_60 a 64","1"
"22","2","E43","","04_15 a 19","1"
"18","2","D37","","16_75 a 79","2"
"54","2","C25","","08_35 a 39","1"
"70","2","J69","","15_70 a 74","3"
"06","1","C49","","15_70 a 74","6"
"26","1","W74","","03_10 a 14","1"
"74","2","C20","","17_80 y más","1"
"54","2","V28","","09_40 a 44","1"
"66","1","J81","","09_40 a 44","2"
"66","1","E43","","15_70 a 74","4"
"70","1","I49","","14_65 a 69","3"
"30","1","R98","","11_50 a 54","6"
"86","1","J81","","99_Sin especificar","1"
"66","2","X59","","02_1 a 9","1"
"06","1","C64","","11_50 a 54","32"
"62","1","W80","","17_80 y más","1"
"06","1","W76","","06_25 a 29","1"
"02","1","D38","","12_55 a 59","3"
"82","1","A06","","10_45 a 49","1"
"82","1","I67","","17_80 y más","77"
"82","2","F32","","17_80 y más","1"
"90","1","K76","","06_25 a 29","1"
"82","2","I21","","14_65 a 69","43"
"70","1","Y00","","05_20 a 24","1"
"54","1","C64","","15_70 a 74","5"
"70","1","K92","","16_75 a 79","3"
"02","2","M06","","13_60 a 64","3"
"66","2","X95","","07_30 a 34","1"
"90","1","G35","","14_65 a 69","1"
"06","2","K85","","17_80 y más","25"
"70","1","V23","","06_25 a 29","3"
"82","2","I10","","16_75 a 79","9"
"06","2","G41","","17_80 y más","1"
"06","2","C73","","11_50 a 54","1"
"86","2","C71","","10_45 a 49","1"
"70","1","I25","","12_55 a 59","14"
"18","2","J96","","16_75 a 79","6"
"66","1","K72","","17_80 y más","6"
"06","2","R10","","16_75 a 79","21"
"82","1","I61","","09_40 a 44","11"
"86","1","C41","","16_75 a 79","1"
"14","1","J44","","17_80 y más","144"
"14","1","V89","","17_80 y más","1"
"62","2","R98","","13_60 a 64","3"
"14","1","K72","","16_75 a 79","8"
"70","1","J84","","17_80 y más","5"
"50","2","G70","","16_75 a 79","1"
"30","1","W70","","09_40 a 44","1"
"98","2","V43","","17_80 y más","1"
"50","1","I27","","16_75 a 79","1"
"02","2","K50","","17_80 y más","1"
"02","1","N18","","10_45 a 49","1"
"66","1","K80","","12_55 a 59","1"
"02","1","C02","","11_50 a 54","2"
"38","2","Q33","","01_Menor de 1 año","1"
"82","1","Y84","","17_80 y más","1"
"34","1","C64","","13_60 a 64","4"
"82","1","I25","","11_50 a 54","11"
"38","1","P77","","01_Menor de 1 año","2"
"26","2","Q89","","01_Menor de 1 año","3"
"18","2","B20","M","07_30 a 34","1"
"06","2","X47","","04_15 a 19","4"
"30","1","C18","","17_80 y más","29"
"22","2","D43","","17_80 y más","1"
"82","2","V23","","10_45 a 49","2"
"22","2","R95","","01_Menor de 1 año","4"
"62","2","C67","","17_80 y más","2"
"18","9","C22","","99_Sin especificar","1"
"06","1","X74","","09_40 a 44","14"
"14","2","E87","","17_80 y más","13"
"82","2","Q75","","01_Menor de 1 año","2"
"62","2","Q79","","01_Menor de 1 año","1"
"26","2","I11","","15_70 a 74","2"
"94","2","C43","","10_45 a 49","1"
"06","9","C11","","17_80 y más","1"
"02","1","I35","","15_70 a 74","6"
"66","1","R99","","09_40 a 44","4"
"22","2","C53","","07_30 a 34","5"
"90","1","C95","","16_75 a 79","1"
"78","1","C20","","15_70 a 74","1"
"86","2","C41","","16_75 a 79","1"
"42","2","D64","","14_65 a 69","1"
"38","1","I08","","13_60 a 64","1"
"70","2","E14","","15_70 a 74","14"
"50","1","I26","","06_25 a 29","1"
"10","1","V48","","04_15 a 19","1"
"50","2","B90","","12_55 a 59","1"
"38","1","V89","","11_50 a 54","4"
"58","1","K55","","09_40 a 44","1"
"06","2","J69","","07_30 a 34","2"
"06","1","X09","","17_80 y más","8"
"46","1","J18","","03_10 a 14","1"
"26","1","K29","","16_75 a 79","1"
"54","1","X67","","10_45 a 49","1"
"46","1","I10","","13_60 a 64","2"
"02","1","G31","","16_75 a 79","3"
"66","2","G30","","13_60 a 64","1"
"02","1","J15","","09_40 a 44","1"
"34","1","W18","","12_55 a 59","1"
"74","1","C73","","12_55 a 59","1"
"86","2","N17","","13_60 a 64","1"
"66","1","J40","","17_80 y más","1"
"46","2","P36","","01_Menor de 1 año","2"
"06","1","C67","","14_65 a 69","53"
"62","1","I50","","11_50 a 54","2"
"02","1","C49","","14_65 a 69","3"
"82","1","I42","","99_Sin especificar","1"
"46","2","C92","","05_20 a 24","1"
"82","2","Y83","","17_80 y más","86"
"06","2","L89","","13_60 a 64","2"
"82","1","J81","","12_55 a 59","4"
"99","1","R98","","99_Sin especificar","3"
"02","1","V05","","14_65 a 69","1"
"78","1","J96","","17_80 y más","1"
"06","2","I67","","12_55 a 59","13"
"94","1","L89","","17_80 y más","1"
"02","2","A81","","14_65 a 69","1"
"82","1","R96","","07_30 a 34","1"
"06","2","Y24","","15_70 a 74","2"
"18","1","I64","","17_80 y más","48"
"22","1","C41","","04_15 a 19","1"
"50","1","I82","","17_80 y más","1"
"82","2","C43","","17_80 y más","5"
"82","2","K71","","17_80 y más","1"
"34","1","C18","","05_20 a 24","1"
"82","2","O15","M","06_25 a 29","1"
"14","1","J96","","11_50 a 54","2"
"06","1","M00","","13_60 a 64","2"
"82","1","D41","","13_60 a 64","1"
"90","2","K74","","16_75 a 79","9"
"66","2","K80","","12_55 a 59","1"
"70","1","C49","","17_80 y más","1"
"06","2","M32","","06_25 a 29","5"
"98","1","E14","","14_65 a 69","1"
"14","2","K56","","16_75 a 79","4"
"38","1","X74","","04_15 a 19","2"
"70","1","E10","","14_65 a 69","1"
"82","1","B23","","10_45 a 49","1"
"46","1","Q24","","02_1 a 9","1"
"22","1","D64","","01_Menor de 1 año","1"
"90","2","I44","","17_80 y más","2"
"62","2","K80","","11_50 a 54","1"
"14","1","I85","","10_45 a 49","2"
"02","1","I71","","10_45 a 49","2"
"74","1","V20","","05_20 a 24","1"
"58","2","E14","","14_65 a 69","6"
