"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","2","J98","","07_30 a 34","2"
"14","2","G60","","04_15 a 19","1"
"06","1","I38","","17_80 y más","1"
"30","2","G12","","14_65 a 69","1"
"14","1","Y20","","16_75 a 79","1"
"30","1","J20","","02_1 a 9","1"
"06","2","G61","","10_45 a 49","1"
"74","1","X74","","12_55 a 59","2"
"90","1","C25","","17_80 y más","3"
"38","1","X31","","15_70 a 74","1"
"66","1","I10","","16_75 a 79","18"
"38","1","V29","","05_20 a 24","1"
"54","1","Y09","","15_70 a 74","1"
"58","1","I60","","13_60 a 64","1"
"06","2","G98","","99_Sin especificar","1"
"06","2","C38","","14_65 a 69","1"
"70","1","R96","","13_60 a 64","1"
"06","1","X70","","14_65 a 69","18"
"02","2","C85","","08_35 a 39","4"
"30","2","R99","","11_50 a 54","5"
"66","2","G12","","12_55 a 59","1"
"86","1","K71","","10_45 a 49","2"
"06","2","P29","","01_Menor de 1 año","32"
"46","1","C07","","17_80 y más","1"
"30","1","W12","","13_60 a 64","1"
"18","1","C04","","11_50 a 54","1"
"66","2","Q20","","01_Menor de 1 año","1"
"34","2","D37","","10_45 a 49","1"
"06","2","X84","","13_60 a 64","1"
"06","2","D44","","14_65 a 69","1"
"50","2","E14","","07_30 a 34","1"
"70","1","I60","","14_65 a 69","1"
"06","1","R50","","05_20 a 24","1"
"66","1","I35","","14_65 a 69","1"
"38","1","A41","","04_15 a 19","2"
"06","1","C74","","12_55 a 59","2"
"18","1","I64","","10_45 a 49","2"
"82","1","E87","","11_50 a 54","2"
"54","1","X99","","99_Sin especificar","1"
"42","2","I42","","16_75 a 79","1"
"66","2","I21","","16_75 a 79","8"
"50","2","K51","","12_55 a 59","1"
"62","1","B22","","07_30 a 34","1"
"62","1","C02","","14_65 a 69","1"
"06","2","D37","","12_55 a 59","1"
"06","2","D43","","02_1 a 9","4"
"06","1","G31","","14_65 a 69","1"
"30","1","V22","","05_20 a 24","1"
"34","2","C22","","12_55 a 59","1"
"22","1","V43","","08_35 a 39","1"
"50","2","M32","","17_80 y más","1"
"10","2","I63","","11_50 a 54","1"
"10","1","R99","","01_Menor de 1 año","2"
"50","2","K74","","16_75 a 79","7"
"30","2","I69","","17_80 y más","10"
"62","1","K80","","17_80 y más","3"
"90","1","V27","","09_40 a 44","1"
"22","2","R99","","12_55 a 59","19"
"34","1","J46","","17_80 y más","1"
"06","1","C14","","17_80 y más","6"
"50","1","C71","","05_20 a 24","1"
"54","2","C53","","14_65 a 69","1"
"38","1","C41","","15_70 a 74","1"
"86","2","G12","","01_Menor de 1 año","1"
"50","1","X99","","07_30 a 34","3"
"54","9","P07","","01_Menor de 1 año","1"
"02","2","I35","","15_70 a 74","6"
"62","2","C54","","08_35 a 39","1"
"62","2","D43","","17_80 y más","2"
"50","2","K70","","10_45 a 49","1"
"38","1","Q33","","01_Menor de 1 año","2"
"82","1","C15","","17_80 y más","21"
"90","1","E86","","13_60 a 64","1"
"82","1","Y30","","08_35 a 39","1"
"54","1","Q04","","01_Menor de 1 año","1"
"06","9","J44","","14_65 a 69","1"
"70","1","C90","","14_65 a 69","1"
"58","2","I05","","12_55 a 59","1"
"90","1","I83","","05_20 a 24","1"
"50","1","C90","","15_70 a 74","6"
"14","1","C18","","05_20 a 24","1"
"74","1","G35","","16_75 a 79","1"
"82","1","A21","","13_60 a 64","1"
"38","2","D61","","14_65 a 69","1"
"10","2","J18","","17_80 y más","37"
"78","1","J18","","17_80 y más","10"
"06","1","K42","","17_80 y más","1"
"02","1","K50","","17_80 y más","1"
"06","2","X09","","15_70 a 74","6"
"30","1","A16","","12_55 a 59","1"
"54","1","K25","","04_15 a 19","1"
"14","1","C10","","15_70 a 74","3"
"74","2","K72","","05_20 a 24","1"
"02","1","J90","","17_80 y más","4"
"62","1","P02","","01_Menor de 1 año","1"
"90","1","I10","","15_70 a 74","5"
"94","1","D37","","11_50 a 54","1"
"82","1","G98","","17_80 y más","1"
"14","2","K85","","14_65 a 69","3"
"78","2","C50","","08_35 a 39","1"
"22","2","R57","","17_80 y más","5"
"82","1","Q39","","01_Menor de 1 año","1"
"06","1","J69","","07_30 a 34","1"
"18","2","I21","","16_75 a 79","12"
