"age","anio_def","variable","method","cor","p.value","n"
"01.menor a 20 anios",2020,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2020,"metabolic","pearson",-0.0147311774767438,0.963757980305462,12
"01.menor a 20 anios",2020,"metabolic","spearman",-0.0145296126951791,0.964253594059768,12
"01.menor a 20 anios",2020,"anemia","pearson",0.360299432578895,0.249947581182033,12
"01.menor a 20 anios",2020,"anemia","spearman",0.378484727175661,0.225060900483531,12
"01.menor a 20 anios",2021,"covid","pearson",-0.57635303350183,0.0498186395565582,12
"01.menor a 20 anios",2021,"covid","spearman",-0.638472797094535,0.0254520153358528,12
"01.menor a 20 anios",2021,"resp","pearson",-0.114204686610005,0.723779935999641,12
"01.menor a 20 anios",2021,"resp","spearman",-0.253079088784054,0.427401908548091,12
"01.menor a 20 anios",2021,"circ","pearson",-0.373684926131132,0.231479005074567,12
"01.menor a 20 anios",2021,"circ","spearman",-0.312282624091014,0.323048094056083,12
"01.menor a 20 anios",2021,"diabetes","pearson",-0.0401246070173754,0.901467511694585,12
"01.menor a 20 anios",2021,"diabetes","spearman",-0.116236901561433,0.719039124006767,12
"01.menor a 20 anios",2021,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2021,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2021,"metabolic","pearson",0.201432139868175,0.530145496196002,12
"01.menor a 20 anios",2021,"metabolic","spearman",0.20423041640916,0.524324327435998,12
"01.menor a 20 anios",2021,"anemia","pearson",-0.141924517137027,0.659944400433044,12
"01.menor a 20 anios",2021,"anemia","spearman",-0.0682473729875117,0.83308614872249,12
"01.menor a 20 anios",2022,"covid","pearson",0.243789787316017,0.445119554956375,12
"01.menor a 20 anios",2022,"covid","spearman",-0.108581602592444,0.736943708354792,12
"01.menor a 20 anios",2022,"resp","pearson",0.063885555359075,0.843634058405947,12
"01.menor a 20 anios",2022,"resp","spearman",-0.0455342204419925,0.888252331652893,12
"01.menor a 20 anios",2022,"circ","pearson",0.399768688064823,0.197900855264125,12
"01.menor a 20 anios",2022,"circ","spearman",0.19435721050356,0.544984923159093,12
"01.menor a 20 anios",2022,"diabetes","pearson",-0.000439617411418448,0.998918129305369,12
"01.menor a 20 anios",2022,"diabetes","spearman",-0.0254268222165634,0.937480088900692,12
"01.menor a 20 anios",2022,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2022,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2022,"metabolic","pearson",0.42551746609573,0.167866238013044,12
"01.menor a 20 anios",2022,"metabolic","spearman",0.257900625339429,0.418344180750761,12
"01.menor a 20 anios",2022,"anemia","pearson",0.581284856861265,0.0474454991318806,12
"01.menor a 20 anios",2022,"anemia","spearman",0.585621095154536,0.0454257417528596,12
"01.menor a 20 anios",2023,"covid","pearson",0.171135269181002,0.594865228492202,12
"01.menor a 20 anios",2023,"covid","spearman",0.0110871074247953,0.97271979299772,12
"01.menor a 20 anios",2023,"resp","pearson",-0.419057960251613,0.175112238369281,12
"01.menor a 20 anios",2023,"resp","spearman",-0.28371321967703,0.371509666939279,12
"01.menor a 20 anios",2023,"circ","pearson",-0.0378352355544843,0.90706733806284,12
"01.menor a 20 anios",2023,"circ","spearman",-0.0492969970642799,0.879075410400554,12
"01.menor a 20 anios",2023,"diabetes","pearson",0.536410311103764,0.0721855110058499,12
"01.menor a 20 anios",2023,"diabetes","spearman",0.506594071538595,0.09280998587829,12
"01.menor a 20 anios",2023,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2023,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2023,"metabolic","pearson",-0.178382296516032,0.579111891272991,12
"01.menor a 20 anios",2023,"metabolic","spearman",-0.276127387831867,0.384979224899707,12
"01.menor a 20 anios",2023,"anemia","pearson",-0.168376967363382,0.600903956579744,12
"01.menor a 20 anios",2023,"anemia","spearman",-0.41280484061887,0.182310429166854,12
"01.menor a 20 anios",2024,"covid","pearson",0.457261972712725,0.135025542093486,12
"01.menor a 20 anios",2024,"covid","spearman",0.511335701391265,0.0892927638303048,12
"01.menor a 20 anios",2024,"resp","pearson",-0.233753969564726,0.464648021567224,12
"01.menor a 20 anios",2024,"resp","spearman",-0.234676366893346,0.462836643549213,12
"01.menor a 20 anios",2024,"circ","pearson",0.636302150621034,0.0261158658758477,12
"01.menor a 20 anios",2024,"circ","spearman",0.352747401709688,0.260737130746158,12
"01.menor a 20 anios",2024,"diabetes","pearson",-0.466828435259196,0.126016286991341,12
"01.menor a 20 anios",2024,"diabetes","spearman",-0.563912929167263,0.0561729666192639,12
"01.menor a 20 anios",2024,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2024,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2024,"metabolic","pearson",0.0853777792930065,0.791919356076436,12
"01.menor a 20 anios",2024,"metabolic","spearman",0.11766968108291,0.715702137681979,12
"01.menor a 20 anios",2024,"anemia","pearson",-0.0948937543421103,0.769253608888507,12
"01.menor a 20 anios",2024,"anemia","spearman",-0.100205991889066,0.756671191681596,12
"02.de 20 a 39 anios",2015,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2015,"resp","pearson",-0.503575966115206,0.095096655329275,12
"02.de 20 a 39 anios",2015,"resp","spearman",-0.564915758187116,0.0556408224592639,12
"02.de 20 a 39 anios",2015,"circ","pearson",0.165801389167876,0.606563542972995,12
"02.de 20 a 39 anios",2015,"circ","spearman",0.118881118881119,0.716184326595525,12
"02.de 20 a 39 anios",2015,"diabetes","pearson",-0.139325643459249,0.665848956413092,12
"02.de 20 a 39 anios",2015,"diabetes","spearman",-0.248699629864677,0.435711481962262,12
"02.de 20 a 39 anios",2015,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2015,"metabolic","pearson",-0.112324287192882,0.728174542999359,12
"02.de 20 a 39 anios",2015,"metabolic","spearman",-0.0744755776192409,0.81806895182605,12
"02.de 20 a 39 anios",2015,"anemia","pearson",0.145365278991873,0.652154462171778,12
"02.de 20 a 39 anios",2015,"anemia","spearman",0.215916758543765,0.500316221686878,12
"02.de 20 a 39 anios",2016,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"resp","pearson",0.760811282494574,0.00405976931483089,12
"02.de 20 a 39 anios",2016,"resp","spearman",0.545454545454546,0.0706789050614175,12
"02.de 20 a 39 anios",2016,"circ","pearson",0.632041797480711,0.0274551060082889,12
"02.de 20 a 39 anios",2016,"circ","spearman",0.614038867594691,0.0336660230881011,12
"02.de 20 a 39 anios",2016,"diabetes","pearson",0.656401386675147,0.0204274878821994,12
"02.de 20 a 39 anios",2016,"diabetes","spearman",0.414037636435277,0.18087697573958,12
"02.de 20 a 39 anios",2016,"alzheimer","pearson",-0.156327886927485,0.627550019752107,12
"02.de 20 a 39 anios",2016,"alzheimer","spearman",-0.131013944022344,0.684848714427375,12
"02.de 20 a 39 anios",2016,"metabolic","pearson",0.660663726127258,0.0193483957482879,12
"02.de 20 a 39 anios",2016,"metabolic","spearman",0.671489000634627,0.0167955583878732,12
"02.de 20 a 39 anios",2016,"anemia","pearson",0.214973534197886,0.502235554107425,12
"02.de 20 a 39 anios",2016,"anemia","spearman",0.354299757036341,0.258497555164483,12
"02.de 20 a 39 anios",2017,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"resp","pearson",0.361716888882053,0.247952160846455,12
"02.de 20 a 39 anios",2017,"resp","spearman",0.284212275858114,0.370632257771717,12
"02.de 20 a 39 anios",2017,"circ","pearson",0.515627664949556,0.0861877307697368,12
"02.de 20 a 39 anios",2017,"circ","spearman",0.335664335664336,0.286690914249746,12
"02.de 20 a 39 anios",2017,"diabetes","pearson",0.715576553013675,0.0088780110532946,12
"02.de 20 a 39 anios",2017,"diabetes","spearman",0.582667704254385,0.0467946515761142,12
"02.de 20 a 39 anios",2017,"alzheimer","pearson",0.502094197939584,0.0962330481616532,12
"02.de 20 a 39 anios",2017,"alzheimer","spearman",0.473870472337351,0.119641798501222,12
"02.de 20 a 39 anios",2017,"metabolic","pearson",0.102554215524768,0.751126309660128,12
"02.de 20 a 39 anios",2017,"metabolic","spearman",0.322090688214855,0.3072546779575,12
"02.de 20 a 39 anios",2017,"anemia","pearson",0.375598107349708,0.228907835691489,12
"02.de 20 a 39 anios",2017,"anemia","spearman",0.0444353023185749,0.890934875207274,12
"02.de 20 a 39 anios",2018,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"resp","pearson",0.279098974474708,0.379673251389224,12
"02.de 20 a 39 anios",2018,"resp","spearman",0.147369328222726,0.647631866294575,12
"02.de 20 a 39 anios",2018,"circ","pearson",0.415342904125764,0.17936693492446,12
"02.de 20 a 39 anios",2018,"circ","spearman",0.571933345245341,0.0520151424339902,12
"02.de 20 a 39 anios",2018,"diabetes","pearson",-0.221319304206288,0.489386229049109,12
