"term","estimate","std.error","statistic","p.value","model","age_group","anio_def","coef","se"
"factor(anio_def)2018",13.5178045199744,17.9644654731998,0.75247463055001,0.453773820757557,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2019",-19.1979330334154,17.4812553548143,-1.09820105271378,0.275112421399192,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2020",-111.812382208499,30.5580533532248,-3.65901521657954,0.000430959038450931,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2021",-27.0088846374606,26.4245434623317,-1.02211357694644,0.309528818474233,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2022",-30.0472463483511,26.0355390061641,-1.15408581866645,0.251589636775815,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2023",-7.81073188636243,22.7610737759227,-0.343161836882443,0.732295155362326,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2024",-64.7807160372038,39.736160460267,-1.63027115068099,0.106618529102697,"lm","02.de 20 a 39 anios",NA,NA,NA
"resp",0.703258335631165,0.312831485672029,2.24804205408038,0.0270722539856427,"lm","02.de 20 a 39 anios",NA,NA,NA
"circ",1.99205578732812,0.448906635641043,4.43757260233734,2.62510766924715e-05,"lm","02.de 20 a 39 anios",NA,NA,NA
"diabetes",1.56360939163326,1.22770671217028,1.27360172925111,0.206158360045382,"lm","02.de 20 a 39 anios",NA,NA,NA
"alzheimer",2.60655622682334,7.92057930787242,0.329086563685138,0.74287218879959,"lm","02.de 20 a 39 anios",NA,NA,NA
"metabolic",1.02153696837501,2.02608720689071,0.504192003631815,0.615386511104104,"lm","02.de 20 a 39 anios",NA,NA,NA
"anemia",4.15159571128505,3.59558972774313,1.15463554677884,0.251365558152449,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)2",34.7722580080246,26.5580348154383,1.30929333626038,0.193843362067415,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)3",6.94163044388385,23.7105677264126,0.292765256571699,0.770390797039648,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)4",48.3875044813058,28.5727809982492,1.69348249595553,0.0939007784441635,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)5",17.853773346289,25.9358944282349,0.688380861346066,0.493023709089529,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)6",-47.7798755805292,24.165265441022,-1.97721294215209,0.0511476594093261,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)7",-56.7787618759462,21.4418018982109,-2.64804059591111,0.00959397344376762,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)8",-1.58513707330183,25.8339101870587,-0.0613587746424808,0.95121262639383,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)9",11.177985201221,26.3600885567917,0.424049607312149,0.672564439115167,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)10",37.9717902860115,21.9467600487479,1.73017749324588,0.0871041860375871,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)11",47.4617293354072,21.892876599946,2.16790740671896,0.0328651584069636,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(month)12",30.8275858407256,27.4780802441703,1.12189736571083,0.264957995879588,"lm","02.de 20 a 39 anios",NA,NA,NA
"covid:factor(anio_def)2020",-18.0716707672605,6.8337051781037,-2.64449084300053,0.00968754208591263,"lm","02.de 20 a 39 anios",NA,NA,NA
"covid:factor(anio_def)2021",-18.3399018066661,6.86007183393819,-2.67342707928141,0.00894834403612989,"lm","02.de 20 a 39 anios",NA,NA,NA
"covid:factor(anio_def)2022",-18.0548360885578,6.86034377187242,-2.63176841991258,0.0100297299139054,"lm","02.de 20 a 39 anios",NA,NA,NA
"covid:factor(anio_def)2023",-16.3055825182656,7.15470531868037,-2.27900127146998,0.0250866306003008,"lm","02.de 20 a 39 anios",NA,NA,NA
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2015,19.3154400136662,6.85248207612317
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2016,NA,6.85248207612317
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2017,NA,6.85248207612317
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2018,NA,6.85248207612317
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2019,NA,6.85248207612317
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2020,1.24376924640571,0.201880175907836
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2021,0.975538207000174,0.0457362785948945
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2022,1.26060392510845,0.179852684934542
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2023,3.0098574954006,2.0247385065153
NA,NA,NA,NA,NA,"lm","02.de 20 a 39 anios",2024,NA,6.85248207612317
"(Intercept)",-458.033402791855,44.8039259248603,-10.2230640136316,1.25408477283891e-16,"lm","03.de 40 a 49 anios",NA,NA,NA
"covid",8.03844689298249,7.61194971604256,1.0560299519637,0.293845098840706,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2016",-4.23494520811585,13.4696450799633,-0.314406592228293,0.753956447062382,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2017",-21.8532061764664,12.4570269991724,-1.75428745381368,0.0828623919388678,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2018",-6.99754652187696,12.524397298783,-0.55871323425335,0.577776417641258,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2019",-28.8231331241335,10.9838785277272,-2.62413072498696,0.010240379475648,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2020",-61.832336576389,14.7348513705152,-4.19633256023993,6.4612759169378e-05,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2021",-3.44751045318756,13.5735097369846,-0.253988137187091,0.800097233684432,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2022",-15.1750245038123,13.3890584320928,-1.13338996769471,0.26012889944028,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2023",1.66606072118715,16.5420293532841,0.1007168277607,0.920004365644383,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(anio_def)2024",-45.1225145750161,16.3096876148835,-2.76660814360659,0.0069028316930554,"lm","03.de 40 a 49 anios",NA,NA,NA
"resp",1.43085709798402,0.176715226040319,8.09696555325434,2.93711606240628e-12,"lm","03.de 40 a 49 anios",NA,NA,NA
"circ",1.34601908707249,0.198539620788958,6.77959936522327,1.32391196490999e-09,"lm","03.de 40 a 49 anios",NA,NA,NA
"diabetes",2.1187227232863,0.600170624629608,3.53020064018272,0.000663097417640049,"lm","03.de 40 a 49 anios",NA,NA,NA
"alzheimer",3.15678987804935,9.51984265722097,0.331601055995907,0.740978949809983,"lm","03.de 40 a 49 anios",NA,NA,NA
"metabolic",3.03338071467792,1.98206266020542,1.53041615463537,0.129500744065162,"lm","03.de 40 a 49 anios",NA,NA,NA
"anemia",5.98322494446855,2.1341891596436,2.80351201177861,0.00621828474014737,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)2",33.9522083226192,17.5623555383983,1.93323772818436,0.0564219826330292,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)3",12.2709139064098,16.5702554060119,0.740538610042051,0.460944584388103,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)4",5.29238752409555,12.7212980559419,0.416025746808407,0.678404004014264,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)5",-62.3698695587147,12.386933802136,-5.03513383981756,2.51489898485613e-06,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)6",-149.625378793914,12.7545885504027,-11.7311019640213,1.10029404708412e-19,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)7",-145.591933146583,14.4014099985096,-10.109561019487,2.14254773933255e-16,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)8",-89.3650918208788,15.430481093544,-5.79146504111712,1.06070844680345e-07,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)9",-70.3790168005135,14.2392369579302,-4.94261153237692,3.65196312641756e-06,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)10",-38.970346898787,12.1647986706507,-3.20353406199877,0.00189091445554007,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)11",36.3862577396628,17.0397744239235,2.13537203218943,0.0355090912769942,"lm","03.de 40 a 49 anios",NA,NA,NA
"factor(month)12",-27.0056858013379,14.1002646928083,-1.91526091103183,0.0587070618129964,"lm","03.de 40 a 49 anios",NA,NA,NA
"covid:factor(anio_def)2020",-6.97256070671535,7.60403377591767,-0.916955514952836,0.361672129513903,"lm","03.de 40 a 49 anios",NA,NA,NA
"covid:factor(anio_def)2021",-7.0764153941744,7.61130591324681,-0.929724212222047,0.355057285217549,"lm","03.de 40 a 49 anios",NA,NA,NA
"covid:factor(anio_def)2022",-7.0979308739291,7.6017356900482,-0.933725028511758,0.353000735971203,"lm","03.de 40 a 49 anios",NA,NA,NA
"covid:factor(anio_def)2023",-6.47945470743259,7.61020678109417,-0.8514163798452,0.396849076770136,"lm","03.de 40 a 49 anios",NA,NA,NA
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2015,8.03844689298249,7.61194971604256
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2016,NA,7.61194971604256
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2017,NA,7.61194971604256
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2018,NA,7.61194971604256
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2019,NA,7.61194971604256
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2020,1.06588618626715,0.0759273545480067
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2021,0.962031498808095,0.0131436525660094
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2022,0.940516019053393,0.124082585451441
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2023,1.5589921855499,0.703814302457736
NA,NA,NA,NA,NA,"lm","03.de 40 a 49 anios",2024,NA,7.61194971604256
"(Intercept)",-1150.39986002135,86.5476064988119,-13.2921048491057,9.36190536004173e-23,"lm","04.de 50 a 59 anios",NA,NA,NA
"covid",15.10155769129,4.94544857465949,3.05362748460685,0.00299065162231179,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2016",22.3691266973959,23.6341062634636,0.946476522024309,0.346497313435717,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2017",0.381109390619873,18.3291880478501,0.0207924862587994,0.98345826449018,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2018",26.5293638286513,21.6799694696839,1.22368086660585,0.224339026412496,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2019",40.0140606289187,21.454899145546,1.86503140180109,0.0655097324621815,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2020",47.4866925060558,19.8961351335547,2.38672949230073,0.0191410342543437,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2021",119.303060275903,18.4849846307433,6.45405244630197,5.75306691514539e-09,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2022",133.844619283886,17.3163972271806,7.72935718255513,1.64880360764575e-11,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2023",174.760048432058,22.5530286370986,7.7488505532506,1.5051037804275e-11,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(anio_def)2024",166.717899347022,26.6053234068965,6.26633613120471,1.32840699529975e-08,"lm","04.de 50 a 59 anios",NA,NA,NA
"resp",1.18518374949739,0.13528689689811,8.76052135625524,1.27723329351262e-13,"lm","04.de 50 a 59 anios",NA,NA,NA
"circ",1.57677756664475,0.162234205090667,9.71914378822606,1.35741229868322e-15,"lm","04.de 50 a 59 anios",NA,NA,NA
"diabetes",1.51046653835456,0.529569158703209,2.85225548642851,0.00540935124932438,"lm","04.de 50 a 59 anios",NA,NA,NA
"alzheimer",-4.95931017279409,8.47256685101159,-0.585337390663606,0.559818910814942,"lm","04.de 50 a 59 anios",NA,NA,NA
"metabolic",1.13478193967811,2.03759480978087,0.556922276318589,0.578994219638905,"lm","04.de 50 a 59 anios",NA,NA,NA
"anemia",-3.53721786842344,3.06421624071382,-1.15436300526866,0.251476633047305,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)2",124.971376861379,23.9134812969561,5.22598007832872,1.1529230714403e-06,"lm","04.de 50 a 59 anios",NA,NA,NA
"factor(month)3",-14.1043085161293,20.3385837058388,-0.693475451394395,0.489837615406625,"lm","04.de 50 a 59 anios",NA,NA,NA
