"age","anio_def","cause","method","cor","p.value","n"
"01.menor a 20 anios",2024,"diabetes","pearson",-0.307341219569144,0.331169947390714,12
"01.menor a 20 anios",2024,"diabetes","spearman",-0.149467358868216,0.642908870888902,12
"01.menor a 20 anios",2015,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2015,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2016,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2016,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2017,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2017,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2018,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2018,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2019,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2019,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2020,"alzheimer","pearson",-0.592881213078444,0.0421812593522803,12
"01.menor a 20 anios",2020,"alzheimer","spearman",-0.690157958899919,0.0129864256750895,12
"01.menor a 20 anios",2021,"alzheimer","pearson",-0.488750672939191,0.106878668565753,12
"01.menor a 20 anios",2021,"alzheimer","spearman",-0.402132037949044,0.195015688108231,12
"01.menor a 20 anios",2022,"alzheimer","pearson",0.74394364540643,0.00553368831284738,12
"01.menor a 20 anios",2022,"alzheimer","spearman",0.287215852018722,0.3653744519387,12
"01.menor a 20 anios",2023,"alzheimer","pearson",0.330789809246233,0.293614257801706,12
"01.menor a 20 anios",2023,"alzheimer","spearman",-0.170002313846861,0.597342778730405,12
"01.menor a 20 anios",2024,"alzheimer","pearson",0.612900843890873,0.0340896949087712,12
"01.menor a 20 anios",2024,"alzheimer","spearman",0.605736138571191,0.0368451186939304,12
"01.menor a 20 anios",2015,"metabolic","pearson",NA,NA,12
"01.menor a 20 anios",2015,"metabolic","spearman",NA,NA,12
"01.menor a 20 anios",2016,"metabolic","pearson",NA,NA,12
"01.menor a 20 anios",2016,"metabolic","spearman",NA,NA,12
"01.menor a 20 anios",2017,"metabolic","pearson",NA,NA,12
"01.menor a 20 anios",2017,"metabolic","spearman",NA,NA,12
"01.menor a 20 anios",2018,"metabolic","pearson",NA,NA,12
"01.menor a 20 anios",2018,"metabolic","spearman",NA,NA,12
"01.menor a 20 anios",2019,"metabolic","pearson",NA,NA,12
"01.menor a 20 anios",2019,"metabolic","spearman",NA,NA,12
"01.menor a 20 anios",2020,"metabolic","pearson",-0.0262662719054933,0.935419770904869,12
"01.menor a 20 anios",2020,"metabolic","spearman",-0.16197584749692,0.615006487406935,12
"01.menor a 20 anios",2021,"metabolic","pearson",-0.391636959588597,0.208027342827081,12
"01.menor a 20 anios",2021,"metabolic","spearman",-0.437406778120013,0.155030414639254,12
"01.menor a 20 anios",2022,"metabolic","pearson",0.0473552504424469,0.883809438464044,12
"01.menor a 20 anios",2022,"metabolic","spearman",-0.143607926009361,0.656129207444872,12
"01.menor a 20 anios",2023,"metabolic","pearson",-0.164106234993371,0.610299365617695,12
"01.menor a 20 anios",2023,"metabolic","spearman",0.0443484296991812,0.891146983072846,12
"01.menor a 20 anios",2024,"metabolic","pearson",0.15738262256111,0.625200556222796,12
"01.menor a 20 anios",2024,"metabolic","spearman",0.0393335154916358,0.903402075693968,12
"01.menor a 20 anios",2015,"anemia","pearson",NA,NA,12
"01.menor a 20 anios",2015,"anemia","spearman",NA,NA,12
"01.menor a 20 anios",2016,"anemia","pearson",NA,NA,12
"01.menor a 20 anios",2016,"anemia","spearman",NA,NA,12
"01.menor a 20 anios",2017,"anemia","pearson",NA,NA,12
"01.menor a 20 anios",2017,"anemia","spearman",NA,NA,12
"01.menor a 20 anios",2018,"anemia","pearson",NA,NA,12
"01.menor a 20 anios",2018,"anemia","spearman",NA,NA,12
"01.menor a 20 anios",2019,"anemia","pearson",NA,NA,12
"01.menor a 20 anios",2019,"anemia","spearman",NA,NA,12
"01.menor a 20 anios",2020,"anemia","pearson",0.376918693243976,0.227143074253346,12
"01.menor a 20 anios",2020,"anemia","spearman",0.316909266841799,0.315543603616405,12
"01.menor a 20 anios",2021,"anemia","pearson",-0.101014950455032,0.754759787016252,12
"01.menor a 20 anios",2021,"anemia","spearman",-0.116406642564197,0.718643555649438,12
"01.menor a 20 anios",2022,"anemia","pearson",0.474681673844161,0.118921395247804,12
"01.menor a 20 anios",2022,"anemia","spearman",0.052539485125376,0.871178309361983,12
"01.menor a 20 anios",2023,"anemia","pearson",-0.179872483716922,0.575893142230425,12
"01.menor a 20 anios",2023,"anemia","spearman",0.155219503947134,0.630022409994826,12
"01.menor a 20 anios",2024,"anemia","pearson",0.289688889181351,0.36107493002452,12
"01.menor a 20 anios",2024,"anemia","spearman",0.464135482801302,0.128511464988983,12
"02.de 20 a 39 anios",2015,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"covid","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"covid","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"covid","spearman",NA,NA,12
